Content,label
hi ps updated prsn cannot get tradesthrough please allow fga trading best akshay patel,Terminations
good afternoon morgan vicknair submitted termination request thisaccount see sales securities butthe mngd trait also still reflected account reaching confirm request order andto inquire status termination thank best akshay patel,Terminations
hi sent determines request account please execute sales todayfa,Terminations
someone please approve termination asap fa,Terminations
hi entered term sell xyz fa would like sold cash thursday confirm fa,Terminations
good afternoonplease advise timeline selling associated term partial request account xyz fa,Terminations
good morninggermany sell request submitted please provide timeline selling position funds required another investment fa,Terminations
terminate sell request irra skidmore submitted one bond remains unsold please provide timeframe selling position asfunds required another investment thank benjaminbest akshay patel,Terminations
good afternoon submitted term sell request ik please made sure getsccomplished asap per clients request best akshay patel,Terminations
good afternoon submitted two terminations k k please confirm submitted asterm keep best akshay patel,Terminations
hi put term sell account 7 seethat still pending acct sold 7 still three securities clientrequested send email make sure aresold best akshay patel,Terminations
good morning need terminate sell thenuveen manager thank best akshay patel,Terminations
hi maa expedite term liquidate funds needed year endgifting client thanks much account grace crevello ev tabs est akshay patel,Terminations
submitted work order change cstmmngd account pia account hasbeen approved branch pending maa weneed make several trades account today could please ask approval best akshay patel,Terminations
good afternoon placed termination managed strategy lastfriday 3 wondering tradedyet resolved thank best akshay patel,Terminations
hello manager termination submitted account still showing pendingtermination get assistance getting mangerterminated please thank best akshay patel,Terminations
good morning terminated iap planning jethe funds securities enroll thesame strategy please confirm terminated okto process je thank best akshay patel,Terminations
account nquiry account frozen term keep requestwas submitted please sell proprietary funds inthis account consolidating custommanaged strategy manager thank best akshay patel,Terminations
good afternoon two accounts currently enrolled paramtrctabs munild1 bb min strategy clients beterminating accounts intention take 1 rom account transfer assets three accounts beenrolled paramtrc tabs munild1 bb min strategy manager advise 1 3 split suggestionsfor please let know youhave questions thank best akshay patel,Terminations
good afternoon fa gary moulsdale submitted liquidation request forw back come togary attention request processed able determine whether requestwas fully submitted account notliquidated time thanks joebest akshay patel,Terminations
hello please review termination request andprovide update see sales thank best akshay patel,Terminations
hello entered termination request client wo wanted check status fa tried enrollanother account client locked best akshay patel,Terminations
please advised account hasbeen frozen attached list securities bewithdrawn please maintain freeze released best akshay patel,Terminations
good afternoon please advise status ofselling last municipal bond account w submitted term sell request couple ofweeks ago thank best akshay patel,Terminations
account east accounting llcinquiry long would take sell settle thisentire account fa asking sureabout longer settlement times bonds time day deadline need toenter term sell best akshay patel,Terminations
requested termination long traitto removed wait bonds aresold trying al enrollment blocked becauseor management trait best akshay patel,Terminations
account nquiry note understand muni liquidationscan sometimes take bit longer equity accounts way make sure process expeditedfor account time sensitive transaction fothe client thank best akshay patel,Terminations
someone please let know strategychange account fully approved best akshay patel,Terminations
client needs liquidate equityholdings 4 muni holdings advised weshould terminate account place tradeswithin days account termination would notcharge client commissions way wecould requested everything sold duringtermination best akshay patel,Terminations
please approve release switch custommanaged pia personalized get sometrades side today best akshay patel,Terminations
possible please execute two terminationsentered system asap today best akshay patel,Terminations
terminating keeping account movingthe bonds ab ny strategy pleaseadvise issues best akshay patel,Terminations
account number f frank ellison ira weplaced termination liquidate order yesterday wesee equities sold would youplease tell us timeframe liquidation thebonds best akshay patel,Terminations
acct changed cstm topa traded asap kdiscreen still shows firm discretion possible please expedite update discretion nd soon possible trade theaccount thanks lot help best akshay patel,Terminations
team entered termination error account please review best akshay pat,Terminations
entered termination full liquidation onthe referenced account extremely important thatthe holdings sold today able confirmthat able done best akshay patel,Terminations
please process termination request binyon best akshay patel,Terminations
account terminated 5 canyou please advise whether entered termand sell term keep best akshay patel,Terminations
vou please advise liquidate securities held submitted termination request best akshay pat,Terminations
