Content,label
large deposit made account funds good trading please let know questions best akshay pat,Same-Day Contributions
hope well client anh dung would like recently deposited funds account traded today possible please let us know assistance would happy help thank best alexbest akshay pat,Same-Day Contributions
accounts v cash v cashbest akshay patel,Same-Day Contributions
deposit transferred richard christy craig account please trade morning possible thank youbest akshay pat,Same-Day Contributions
deposit transferred richard christy craig account please trade morning possible thank best akshay pat,Same-Day Contributions
following clients moved cash following accounts morning please trade asap thank hsiung dangbest akshay pat,Same-Day Contributions
please trade mirheydar today confirm transferred via je today thank best akshay pat,Same-Day Contributions
tearn client made large deposit account please trade accordingly soon possiblebest akshay patel,Same-Day Contributions
moved trying traded today reflecting intraday trading screen even though seeit moved able trade full portion richard orlando est akshay pat,Same-Day Contributions
please trade confirming tax loss selling accounts best akshay pat,Same-Day Contributions
moved funds account trade mess tax loss selling took place want void wash rule best akshay pat,Same-Day Contributions
transferred account peggy bernstein campbell newman portfolio funds ready immediate investment best akshay pat,Same-Day Contributions
please aware additional deposit made account want remind sold losses past couple days sure compliant tax loss wash rule best akshay pat,Same-Day Contributions
deposited account earlier today please let know expect funds invested today thank best akshay pat,Same-Day Contributions
deposited account earlier today please let know expect funds invested today thank youbest akshay pat,Same-Day Contributions
hello submitted intraday deposit account however reason system would allow full instead please make sure invest full best akshay pat,Same-Day Contributions
per client request today please trade today understand best effort best akshay patel,Same-Day Contributions
would like please request investment recent deposited following account todaybest akshay pat,Same-Day Contributions
recently je cash ira name managed ira requesting intraday deposit system allows 4 requested due pending fee client intendeds invest today please invest details please let us know additional information neededbest akshay pat,Same-Day Contributions
hello guys fyi je ed account client requested immediate investment allocation possiblethanks help great daybest akshay pat,Same-Day Contributions
esearch income growth esearch income esearch mid cap esearch small cap esearch internationalthe j e funds came name account approved new service gatewayjam aware thatlcan notify deposits control panel however interest time wanted get younow please let know need add individually control panel thanks lotbest akshay pat,Same-Day Contributions
deposited acct today showing bma tried enter intraday deposit showing control panel client would like invested today please advise completed best akshay pat,Same-Day Contributions
please advised journaled kathy howington managed ira thefund good tradethanksbest akshay pat,Same-Day Contributions
7 7 note account intraday screen shows less 7 entered cash available want knowwe fact deposit 7 sure makes difference since amount minor screen prints wanted know best akshay pat,Same-Day Contributions
advised enter intraday deposit available amount showing controlpanel ould like full invested please advise remaining amount invested today best akshay pat,Same-Day Contributions
pamela gruver adams assigned following new task subject kathy smith pls ask maa invest cash asap thankscontact edmund smithclient prospect edmund smithpriority normalbest akshay patel,Same-Day Contributions
maa dient cliff doner one ml one account adding money accounts todaynow set recognize deposit funds real time goes manager investment today cutoff time happen best akshay pat,Same-Day Contributions
fyiwe moved account yest akshay patel,Same-Day Contributions
hello guys fyi je ed account client requested immediateinvestment allocation possible best akshay c patel,Same-Day Contributions
hi journaled accounts warren funds goodto trade best akshay c patel,Same-Day Contributions
helloviust journaled accountfor janna warren funds good tradethanksbest akshay pat,Same-Day Contributions
maathe je good trade thank vou best akshay patel,Same-Day Contributions
please invest account best akshay c patel,Same-Day Contributions
another deposited today please invest funds today best akshay pat,Same-Day Contributions
client deposited 3 yesterday edge arrived yesterday settled today within account deposits showing intraday deposits best akshay pat,Same-Day Contributions
maa please invest deposited today account best akshay c patel,Same-Day Contributions
please trade deposit made today account est akshay c patel,Same-Day Contributions
maa please invest intraday deposit made account oday best akshay c patel,Same-Day Contributions
hi deposited account please make best efforts totrade today best akshay c patel,Same-Day Contributions
hi team please note moved account please tradethis today best akshay c patel,Same-Day Contributions
hi team please trade recently deposited 2 xx today possible please confirm traded best akshay c patel,Same-Day Contributions
please trade intraday je account est akshay c patel,Same-Day Contributions
maa enrolled account ric portfolio areremoving today time please trade best akshay c patel,Same-Day Contributions
hi please trade moved account today best akshay c patel,Same-Day Contributions
hi maa please note je account u please use bestefforts place trades today best akshay c patel,Same-Day Contributions
provide overlap research based equity income vs research based eq inc gro,MAA TRANSITION ANALYSIS/Overlap Requests
hi team please overlap large cap universe please expedite possible new recruit,MAA TRANSITION ANALYSIS/Overlap Requests
please run overlap attached holdings acct c lcv universe donna team speaking client friday would really appreciate,MAA TRANSITION ANALYSIS/Overlap Requests
please provide overlap analysis acct targe cap core value sma managers,MAA TRANSITION ANALYSIS/Overlap Requests
good morning maa run overlap analysis much appreciated fa,MAA TRANSITION ANALYSIS/Overlap Requests
good afternoon get overlap two account ristotle value equity london company div focused,MAA TRANSITION ANALYSIS/Overlap Requests
good afternoon team please run overlap report attached holdings following strategies columbia dividend income brown largecap sustainable growth,MAA TRANSITION ANALYSIS/Overlap Requests
todd dent transferred attached holdings earnest partners sma please run attached holdings verse four earnest partner smas earnest scc arnest smcc arnest smcv arnest mcc,MAA TRANSITION ANALYSIS/Overlap Requests
good afternoon maa please run attached holdings verse dividend growth smasbahl gaynor uveen olumbia dividend income ondon dividend,MAA TRANSITION ANALYSIS/Overlap Requests
good morning maa please run overlap attached holdings vs large cap universe thanks casey ortiz,MAA TRANSITION ANALYSIS/Overlap Requests
maa attached two tabs symbols could run yes overlap analysis versus large cap smas much appreciated,MAA TRANSITION ANALYSIS/Overlap Requests
could please run transition analysis growth sma platformi attached holdings reference thank assistance advance,MAA TRANSITION ANALYSIS/Overlap Requests
could please run following 3 requests 1 overlap attachment pia 6 universe large cap core sma managers2 overlap attachment capital gains universe large cap growth sma managers3 tax impact analysis attachment capital gains going clearbridge legg mason lg,MAA TRANSITION ANALYSIS/Overlap Requests
hi team run overlap research based growth lcg universe thank,MAA TRANSITION ANALYSIS/Overlap Requests
please provide overlap summary cambiar international value adr lazard intl value,MAA TRANSITION ANALYSIS/Overlap Requests
please run overlap analysis attached holdings vs following sma universes large cap growthlarge cap valuelarge cap coresmid cap valueinternational,MAA TRANSITION ANALYSIS/Overlap Requests
good morning looking removing looms sayles large cap growth replace brown advisory large cap sustainable growth shey overlap course positions change could give analysis would show positions would lost toomis thechange adds brown would good possible,MAA TRANSITION ANALYSIS/Overlap Requests
good morning maa please run overlap attached 3 files sma universe thaks dan,MAA TRANSITION ANALYSIS/Overlap Requests
please overlap,MAA TRANSITION ANALYSIS/Overlap Requests
hi maa please overlap attached positions codes,MAA TRANSITION ANALYSIS/Overlap Requests
please run overlap analysis research growth,MAA TRANSITION ANALYSIS/Overlap Requests
please overlap analysis smas holdings attached spreadsheet thank,MAA TRANSITION ANALYSIS/Overlap Requests
please run overlap attached holdings sma universe thanks pat,MAA TRANSITION ANALYSIS/Overlap Requests
hello maa please run overlap analysis attached holdings entire sma universe,MAA TRANSITION ANALYSIS/Overlap Requests
possible run overlap two portfolios sma universe,MAA TRANSITION ANALYSIS/Overlap Requests
hi team overlap following managers cap global ahl gaynor ondon uveen,MAA TRANSITION ANALYSIS/Overlap Requests
team please compare attached holdings vs 1 research based equity growth mfs lcv lazard international w em,MAA TRANSITION ANALYSIS/Overlap Requests
kindly run overlap analysis attached account holdings smas ml one platform thank help,MAA TRANSITION ANALYSIS/Overlap Requests
please provide overlap information funds boston partners large cap valuecolumbia select large cap valuethanks fa,MAA TRANSITION ANALYSIS/Overlap Requests
hi please find attached tax impact analysis review best akshay c patel,MAA TRANSITION ANALYSIS/Ready to Send
please find attached tax report regards argha ghoshglobal business servicesfa,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached tax analysis uploaded share point thanksritu yadavfa,MAA TRANSITION ANALYSIS/Ready to Send
please find attached tax analysis uploaded share point fa,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached tax analysis uploaded share pointregards vibhafa,MAA TRANSITION ANALYSIS/Ready to Send
please find attached tax analysis reportfa,MAA TRANSITION ANALYSIS/Ready to Send
team lease attached tax impact analysis report review uploaded sharepoint hanks regards hupender singh,MAA TRANSITION ANALYSIS/Ready to Send
hi team please attached tax impact analysis report review uploaded sharepoint,MAA TRANSITION ANALYSIS/Ready to Send
please find attached tax analysis report fa,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached tax overlap analysis uploaded share point regards vibha,MAA TRANSITION ANALYSIS/Ready to Send
hi team please overlap analysis report review fa,MAA TRANSITION ANALYSIS/Ready to Send
please find attached overlap analysis review uploaded sharepoint regards aryaman seth,MAA TRANSITION ANALYSIS/Ready to Send
please find attached overlap analysis uploaded share point ticker used research based income growth iera apex smid growth arnest partners mid cap core learbridge mcg esearch based lc def,MAA TRANSITION ANALYSIS/Ready to Send
hi team please attached overlap analysis report review fa,MAA TRANSITION ANALYSIS/Ready to Send
please overlap analysis report reviewfa,MAA TRANSITION ANALYSIS/Ready to Send
please find attached tax report fa,MAA TRANSITION ANALYSIS/Ready to Send
please find attached tax report fa,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached tax impact analysis review uploaded share point kindly note used allocation run analysis allocation provided last mail exceeding,MAA TRANSITION ANALYSIS/Ready to Send
hi team please attached tax impact analysis report review uploaded sharepoint,MAA TRANSITION ANALYSIS/Ready to Send
hi team please attached tax impact analysis report review uploaded sharepoint fa,MAA TRANSITION ANALYSIS/Ready to Send
please tax analysis part reviewfa,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached tax analysis report regardssmriti sandhufa,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached overlap analysis report note overlap acct acct acct regardssmriti sandhufa,MAA TRANSITION ANALYSIS/Ready to Send
please overlap analysis report reviewregardsbhupeshfa,MAA TRANSITION ANALYSIS/Ready to Send
please overlap analysis report review uploaded sharepoint,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached overlap analysis reports review uploaded sharepoint regards aryaman seth,MAA TRANSITION ANALYSIS/Ready to Send
hi team please find attached overlap analysis report review uploaded sharepoint thanks regards bhupender singh,MAA TRANSITION ANALYSIS/Ready to Send
please find attached overlap analysis report review uploaded sharepoint thanks regards bhupender singh,MAA TRANSITION ANALYSIS/Ready to Send
hi team please overlap analysis port review uploaded share point,MAA TRANSITION ANALYSIS/Ready to Send
please find attached overlap analysis uploaded share point fa,MAA TRANSITION ANALYSIS/Ready to Send
could please assist us tax impact analysis analyses thefollowing withdrawal account n withdrawal account n est akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run analysis tax impact would fromswitching clearbridge legg mason sma cphpd allocation jp morgan large cap growth sma allocation toneuberger berman large cap value sma best akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
clients william debra shwartz currently invested within thefollowing strategies pia platform would like request taxanalysis transition accounts custom managed strategy typesbelow made following investment sleeves urrent strategy pia defined strategy mod aggnew strategy research equity income growth cio fixed income mf etf spdr gold etf urrent strategy pia defined strategy mod aggnew strategy research equity income growth cio fixed income mf etf spdr gold etfbest akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
maa transition analysisgood afternoon could please provide us possible capitalgain loss analysis request withdrawal loss theamount also loss please note tax sell completed 2 accounts weanticipate rebalance back respective strategies about3 please let us know possible tax impact would section option cash left wedon make changes please provide us possible capitalgain loss analysis rebalance back strategy much ofthe available cash would reinvested best akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
client currently maned pia would like request taxanalysis move account following sleeves research equity income growth cio fixed income8 spdr gold etfbest akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run portfolio rebalance tax analysis bbbjvbhf please giverealized cap gain account rebalance est akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
please provide tax impact analysis account roposed custom model 5 2 1 1 best akshay c patel,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run tax impact london company dividend focused 6 jpm mcv 9 bahl gaynor john hancock lcc loomis lcg janus mcg 7 blackrock st tax fi seix 4 fa,MAA TRANSITION ANALYSIS/Tax Impact Requests
let us know potential capital gains j change current portfolio sleeves research based growth research based income research based income,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run tax impact reflecting withdrawal,MAA TRANSITION ANALYSIS/Tax Impact Requests
please provide tax impact analysis change strategy pw lou cio nov cklyacomponents cklya cio aggressive etf sz styio fo etf sector us granguard dividend appreciationvigfa,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run overlap tax analysis account p enrolled strategy esearch based equity income growth,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run analysis implementing strategy spdr p anguard dividend appreciationjp morgan equity incomeshares russell mc etfshares russell dexishäres msci eafe index fundishares msci em etflord abbett short dur incomevanguard short term bondguggenheim total return bond fd instl classeaton vance floating rate fdblackrock strategicincomeneuberger berman long short,MAA TRANSITION ANALYSIS/Tax Impact Requests
may please get tax analysis fot dient ed arshi thank carrent costom ay ne clarg mseox 5 cnfmpde arbindge sma neubeger berman sma morgan stanley capital growth mseqx5 fa,MAA TRANSITION ANALYSIS/Tax Impact Requests
good afternoon account transitioned blackrock pl enroll ml one account cma account hasconsiderable unrealzed gains wanted see could get analysis done transition tax implications follow could let meknow information need review info believe need codes current blackrock strategy sleeve blackrock ml one strategy looking move equity dividend balanced municipal,MAA TRANSITION ANALYSIS/Tax Impact Requests
capital gains analysis underlying holdings current portfolio ciivn 4 3 3 moving crcis holds please let us know capital gains effect transition thank fa,MAA TRANSITION ANALYSIS/Tax Impact Requests
hello maa please conduct tax impact analysis attached holdings account going custom core portfolio following holdings allocationweighting first tr small cap core alphadex fd aixfirst trust us equity opportunities etf pxnvesco p pure growth etf pgnvesco p pure value etf pvash tr core divid growth etf grosmares core p total u stock market etf ktothares inc core msci emerging mkts etf emghares tr core msci total intl stk etf xuschwab fundamental international small company index etf ndcash cashus dollarvanguard dividend appreciation etf migmanguard international dividend appreciation index fund digidanguard real estate etf xnqxanguard total stk mkt etf uouo 5,MAA TRANSITION ANALYSIS/Tax Impact Requests
good morning please holdings unrealized gains loss account provide transition analysis custom managed strategy pleaselet us know need anything else weightings,MAA TRANSITION ANALYSIS/Tax Impact Requests
please tell potential realized gain raise referenced account specifically trying raise loss,MAA TRANSITION ANALYSIS/Tax Impact Requests
hi team could please run tax impact analysis two scenarios account prom current research large cap detenaive research equity income account cunently unmanaged inte bqrgn,MAA TRANSITION ANALYSIS/Tax Impact Requests
please provide transition analysis moving clearbridge lg cohen steers jpm lazard earnest smid riverbridge smid growth,MAA TRANSITION ANALYSIS/Tax Impact Requests
maa please run tax impact analysis attached holdings blackrock pi account mngd strategy ml1 equivalent variation amy meeting client est tomorrow would appreciate quick turnaround,MAA TRANSITION ANALYSIS/Tax Impact Requests
could please help tax analysis taking account enrolling following strategy 7 xmmo,MAA TRANSITION ANALYSIS/Tax Impact Requests
himaa team please run analysis moving account assets f wing lifo fifo account fo cio flex code et know need additional information thank,MAA TRANSITION ANALYSIS/Tax Impact Requests
please provide estimated tax impact update strategy following liquidating 2 highlighted sleeves restof sleeves weighted based yesterday closing prices thanks daniellondon company dividend focused 6 jpm mcv 9 bahl gaynor john hancock lcc loomis lg janus mcg 7 blackrock st tax fi seix 4 cohen steers pfd sleeve would fully liquidatedla int muni sleeve would fully liquidated,MAA TRANSITION ANALYSIS/Tax Impact Requests
new strategy oiefavycmnixgteyxpprmxscffxpftpxfa,MAA TRANSITION ANALYSIS/Tax Impact Requests
please run tax transition switch account cio mod conservative etf size style tax aware,MAA TRANSITION ANALYSIS/Tax Impact Requests
good morning maa please provide two transition analysis account research based equity income growth nuveen dividend growth,MAA TRANSITION ANALYSIS/Tax Impact Requests
please determine potential capital gains moving account following model gtc prime aggressiveodvyx 9,MAA TRANSITION ANALYSIS/Tax Impact Requests
