Content,label
"$25,000 moved into 111 Dash 00000 today – is there a way to have the manager invest today?Sent from my iP",Same-Day Contributions
TeamPlease be aware that $3000 have been transferred into clients managed account 555–1110Please trade accordingly.Sent from my iP,Same-Day Contributions
"We transferred $10,000 from the client same name cash IRA into their managed IRA.Client is requesting same-day trade for the full $10,000 appears a dividend was paid today and the dollar amount is being held back please manually trade the request for the additional $188.26 to get the total deposit to $10,000Sent from my iP",Same-Day Contributions
"The final dollar amount has been deposited intraday today. Please invest as soon as possibleAccount number 834561100Dollar amount $265,454.33Sent from my iP",Same-Day Contributions
Please trade the funds that were deposited below today ASAP121212121 - 45k0000090 - 45kSent from my iPad,Same-Day Contributions
"Team,    We just moved $890,678 into the above account, please alert yourtraders to invest today.Best,Akshay C. Patel",Same-Day Contributions
"Team,     I just moved $50k from Mr. Joe's brokerage to the LCV strategy, pleasetrade these funds today if possible.Best,Akshay C. Patel",Same-Day Contributions
"Team,    We have just journaled in $1MM into account 5678900 for trading, today.Please trade and confirm once traded into the Research LCV strategy.Best,Akshay C. Patel",Same-Day Contributions
"We just deposited additional funds today into the family account$25,000 to account 11233–4 F55Sent from my iP",Same-Day Contributions
"I am requesting that you invest the $45,000 in the above account today. Funds were journaled this morning and are good funds in the account please advise when you are able to investSent from my iP",Same-Day Contributions
"Team,$1000 went into the account today please trade today if possible.Sent from my iPad",Same-Day Contributions
"Account; 250 – 43838Deposit amount; $100,000Please buy today.FA",Same-Day Contributions
"All,I moved $250,000 into this account. Please trade ASAP.FA",Same-Day Contributions
"MAA,We just journaled cash to as follows please trade the account ASAP and confirm back to us.Account above, $100,000FA",Same-Day Contributions
"Hi- $300,000 was added to account 2SD-33620 today. Please trade the account today. Thank you!Best,Akshay Pat",Same-Day Contributions
"I just moved $40k to this account. Is it possible to invest today?Thank youAmityBest,Akshay Patel",Same-Day Contributions
"I just moved $40k to this account. Is it possible to invest today?Thank youAmitvBest,Akshay Patel",Same-Day Contributions
"A deposit of $135,000 was made into 721-34722 for Teresa Graw. Please trade today. Please confirmBest,Akshay Pat",Same-Day Contributions
"A deposit of $906,625.78 was made into 721-30176 for Nancy Zunino. Please trade today. Please confirm.Thanks,JackBest,Akshay Pat",Same-Day Contributions
"My client just transferred $120,000 to his brokerage account (81C-54258) & he'd like to invested as soon asPlease confirm when this is traded.Best,Akshay Pat",Same-Day Contributions
"Hello team, I hope this finds you well and you had a nice Thanksgiving$250K was moved into this account, 2|V-41434 a few minutes ago (from acct 41433); can we please have this trade as soon as possible?Best,Akshay Pat",Same-Day Contributions
"Goo morning-My above client has made a $100k deposit into MGIA CMA. Asking best effort to get this traded todayThank you.Best,Akshay Pat",Same-Day Contributions
"A deposit of $135,000 was made into 721-34722 for Teresa Graw. Please trade today. Please confirm.Thanks,JackBest,Akshay Pat",Same-Day Contributions
"Please invest the S50k asapBest,Akshay Patel",Same-Day Contributions
"Money moved into acct, pls trade today6KZ-14446Best,Akshay Patel",Same-Day Contributions
"I submitted an intraday deposit request for $50,000 for Armellini, account 5vu14805, work order s16345030. After, the cliendeposited another $50,000 for a total intraday deposit of $100,000. Please trade the full $100k as soon as possible.Thank you,ChrisBest,Akshay Pat",Same-Day Contributions
"I submitted an intraday deposit request for $50,000 for Armellini, account 5vu14805, work order $16345030. After, the client deposited another $50,000 for a total intraday deposit of $100,000. Please trade the full $100k as soon as possible.Thank youBest,Akshay Pat",Same-Day Contributions
"Hi Please invest the untraded cash in 6QM-28297. Thanks - SamBest,Akshay Patel",Same-Day Contributions
"For 564-22923 name of Philip Joseph please invest in current CIO portfolio $60,000 depositing today via JE.Best,Akshay Pat",Same-Day Contributions
"Hello,Please invest the intradav deposit of $1150,000 in 6PV-65826.Best,Akshay Patel",Same-Day Contributions
"A large deposit of $500k has been made into the above account. These funds are good for trading.Please let me know should you have any questions,Best,Akshay Pat",Same-Day Contributions
"I hope all is well! Our client Anh Dung would like recently deposited funds into account 81818 traded today if possible. Please let us know if I can be of any further assistance and / would be happy to help. Thank you!Very Best,AlexBest,Akshay Pat",Same-Day Contributions
"On accounts 2jv-22856 $20,058.16 cash & 2jv35857-$22,855.63 cashBest,Akshay Patel",Same-Day Contributions
"A deposit of $55,000 was transferred to Richard & Christy Craig's account 20S-23732.Please trade this morning if possible.Thank youBest,Akshay Pat",Same-Day Contributions
"A deposit of $55,000 was transferred to Richard & Christy Craig's account 205-23732.Please trade this morning if possible.Thank you,Best,Akshay Pat",Same-Day Contributions
"The following clients moved cash into the following accounts this morning. Please trade ASAP. Thank you!501-182, Hsiung501-183, DangBest,Akshay Pat",Same-Day Contributions
"Please trade Mirheydar 86321998 today and confirm, we transferred 14,000 via JE today. Thank you.Best,Akshay Pat",Same-Day Contributions
"Tearn,Client has made a large deposit of $200K into his 518-25449 account.Please trade accordingly and as soon as possibleBest,Akshay Patel",Same-Day Contributions
"moved 50,000 and I am trying to have it traded today, but it is not reflecting on the intraday trading screen even though I can seeit moved in there.Are you able to trade the full portion>65 Richard Orlando 50,000Best,Akshay Pat",Same-Day Contributions
"Please trade the $200k in 524-48P53 and $100k in 524-34180. Just confirming we had tax loss selling in both accounts.Best,Akshay Pat",Same-Day Contributions
"I just moved funds into the account. DO NOT TRADE IF THIS WERE TO MESS WITH THE TAX LOSS SELLING THAT TOOK PLACE ON 12/16/21. DON'T WANT TO VOID THE WASH RULE.Best,Akshay Pat",Same-Day Contributions
"$200,000 was transferred into account 840-49556 Peggy Bernstein (Campbell Newman Portfolio)These funds are ready for immediate investment.Best,Akshay Pat",Same-Day Contributions
"Please be aware that an additional deposit was made to this account and we want to remind you that we sold off losses in the past couple of days. We just to be sure that we are compliant with the Tax loss wash rule.Best,Akshay Pat",Same-Day Contributions
"We deposited $100k into this account earlier today. Please let me know if you expect the funds to be invested today. Thank you.Best,Akshay Pat",Same-Day Contributions
"We deposited $100k into this account earlier today. Please let me know if you expect the funds to be invested today. Thank youBest,Akshay Pat",Same-Day Contributions
"Hello,We submitted an intraday deposit for this account, however, for some reason the system would not allow the full 50k, instead$49,983.82. Please make sure to invest the full 50kBest,Akshay Pat",Same-Day Contributions
"Per client request today (12/31/21), please trade today.We understand this is best effort.Best,Akshay Patel",Same-Day Contributions
"We would like to please request the investment of the recent $100k that was deposited into the following account todayBest,Akshay Pat",Same-Day Contributions
"Recently JE $5000 from Cash IRA to same name managed IRA 595-21774, requesting intraday deposit.The system only allows $4,501.33 to be requested, due to pending fee.Client intendeds to invest $5000 TODAY, please invest.Details below. Please let us know if any additional information is neededBest,Akshay Pat",Same-Day Contributions
"Hello guys,Just FYI, S5k was just je'ed to this account and client has requested immediate investment into the allocation if possibleThanks for your help and have a great dayBest,Akshay Pat",Same-Day Contributions
"421-21908421-21920421-21919421-21917421-21916$160,628Research Income & Growth$ 34,157Research Income$ 46,830Research Mid-Cap$ 52,982Research Small Cap$112,402Research InternationalThe J/E of funds came from same name account 422-16976 and have been approved on New Service GatewayJam aware thatlcan notify you of the deposits on the Control Panel, however, in the interest of time, I wanted to get them over to younow. Please let me know if I need to add them individually on the Control Panel.Thanks a lotBest,Akshay Pat",Same-Day Contributions
"$20,000.00 has been deposited into acct 890-27736 today and showing in BMA.I tried to enter an Intraday Deposit but the $20,000.00 is not showing on Control Panel.Client would like the $20,000.00 invested today.Please advise when completed.Best,Akshay Pat",Same-Day Contributions
"Please be advised that we just journaled $114,000 into Kathy Howington's managed IRA 45613034 and thefund are good to tradeThanksBest,Akshay Pat",Same-Day Contributions
"740-82D76740-82D78$7,000*$7,000* NOTE: for account 740-82D76, the Intraday screen shows less than $7,000 so I entered all cash available. I just want you to knowwe did in fact deposit $7,000. Not sure if it makes a difference since amount is minor (screen prints below) so wanted you know.Best,Akshay Pat",Same-Day Contributions
"was advised to enter the $20K Intraday deposit for the available amount showing on the ControlPanel- $17,417.46Would like the full $20k invested-Please advise if the remaining amount can be invested today.Best,Akshay Pat",Same-Day Contributions
"Pamela Gruver Adams has assigned you the following new task:Subject: Kathy Smith-17363-pls ask MAA to invest 80K CASH asap. ThanksContact: Edmund SmithClient & Prospect: Edmund SmithPriority: NormalBest,Akshay Patel",Same-Day Contributions
"MAA,Our dient, Cliff Doner, one of his ML One account #'s is 421-16978, will be adding more money to his accounts todaynow set up to recognize a deposit of funds in ""real-time"" so that it goes to the manager for investment today? If so,cutoff time to have this happen?Best,Akshay Pat",Same-Day Contributions
"FYIWe just moved 15K into account 5pY17751Best,Akshay Patel",Same-Day Contributions
"Hello guys,Just FYI, $5k was je'ed to this account and client has requested immediateinvestment into the allocation if possible.Best,Akshay C. Patel",Same-Day Contributions
"Hi,I just journaled 20k into the 456080 accounts Warren. These funds are goodto trade.Best,Akshay C. Patel",Same-Day Contributions
"HelloViust journaled $20k into the 45613840 accountfor Janna Warren. These funds are good to tradeThanksBest,Akshay Pat",Same-Day Contributions
"MAAThe $50k je'd into 689-75476 is good to trade.Thank vou.Best,Akshay Patel",Same-Day Contributions
"please invest $40k into account 1235456464.Best,Akshay C. Patel",Same-Day Contributions
"Another $100K has been deposited into 233-22796 today. Please invest funds today.Best,Akshay Pat",Same-Day Contributions
"Client deposited $3,500 yesterday from Edge and then $10,000 arrived yesterday and settled today within the account. Both deposits are not showing on intraday deposits.Best,Akshay Pat",Same-Day Contributions
"MAA,   Please invest $50k deposited today in account 1232345.Best,Akshay C. Patel",Same-Day Contributions
"Please trade deposit of $50k made today to account 1233456Best,Akshay C. Patel",Same-Day Contributions
"maa,    Please invest intraday deposit of $40k made to the account 2233333today.Best,Akshay C. Patel",Same-Day Contributions
"Hi,  We deposited $12MM to account 123464512. Please make best efforts totrade today.Best,Akshay C. Patel",Same-Day Contributions
"Hi team,Please note we have moved $540,400k into the above account. please tradethis today.Best,Akshay C. Patel",Same-Day Contributions
"Hi Team,Please trade the recently deposited $2.6MM in xx5458470 today if possible.Please confirm once traded.Best,Akshay C. Patel",Same-Day Contributions
"Please trade intraday JE of 59k in account 39274729Best,Akshay C. Patel",Same-Day Contributions
"MAA,We enrolled account 309573 into the RIC portfolio with 400k and areremoving 100k today at the same time. Please only trade 300k!Best,Akshay C. Patel",Same-Day Contributions
"Hi,Please trade the $595k moved into account 907534 today.Best,Akshay C. Patel",Same-Day Contributions
"Hi MAA,    Please note we have JE'd $500k into account u94575973, please use bestefforts to place trades today.Best,Akshay C. Patel",Same-Day Contributions
Can you provide an overlap between Research Based-Equity Income (28S00868) vs. Research Based-Eq Inc and Gro (28S02572),MAA TRANSITION ANALYSIS/Overlap Requests
"Hi Team,Can I please have an overlap against the large cap universe? Please expedite, if at all possible. This is for a new recruit!",MAA TRANSITION ANALYSIS/Overlap Requests
"Can you please run an overlap for the attached holdings from acct 6QC-17263 against the LCV universe? Donna and the team are speaking with the client Friday,so would really appreciate it before then.",MAA TRANSITION ANALYSIS/Overlap Requests
Can you please provide an overlap analysis for acct# 67628467 against the targe Cap Core and Value SMA managers?,MAA TRANSITION ANALYSIS/Overlap Requests
"Good Morning MAA,Can you run an overlap analysis between 28500333 and 28502572?Much appreciated,FA",MAA TRANSITION ANALYSIS/Overlap Requests
"Good afternoon,Can we get an overlap on the two below that are in account 70b11095Aristotle Value Equity 31% 28501594The London Company Div Focused 30% 28500358FA",MAA TRANSITION ANALYSIS/Overlap Requests
"Good afternoon, team-Can you please run an overlap report with the attached holdings with the following strategies?28501695 - Columbia Dividend Income285-02255 - Brown Largecap Sustainable Growth",MAA TRANSITION ANALYSIS/Overlap Requests
"Todd's dent transferred in the attached holdings for an Earnest Partners SMA, please run the attached holdings verse our four Earnest Partner SMAS:Earnest SCC-28500325Earnest SMCC=28500354Earnest SMCV-28500355Earnest MCC-28500154",MAA TRANSITION ANALYSIS/Overlap Requests
"Good Afternoon MAA,Please run the attached holdings verse our Dividend Growth SMASBahl Gaynor - 28500164Nuveen=28500172Columbia Dividend Income --28501695London Dividend - 28500358FA",MAA TRANSITION ANALYSIS/Overlap Requests
"Good morning MAA,Can you please run an Overlap of the attached holdings vs the Large Cap Universe?Thanks,Casey Ortiz",MAA TRANSITION ANALYSIS/Overlap Requests
"MAA,For the attached, two tabs with symbols. Could you run a Yes/No Overlap Analysis versus our Large Cap SMAs?Much appreciated,",MAA TRANSITION ANALYSIS/Overlap Requests
"Could you please run a transition analysis against all Growth SMA's on the platformI attached the holdings for reference, thank you for the assistance in advance,",MAA TRANSITION ANALYSIS/Overlap Requests
Could you please run the following 3 requests:1.Overlap of 15t attachment (PIA 6) with our universe of Large Cap Core SMA managers2.Overlap of 21d attachment (Capital Gains) with our universe of Large Cap Growth SMA managers3.Tax impact analysis of 2nd attachment (Capital Gains) going into Clearbridge/Legg Mason LG 28500333,MAA TRANSITION ANALYSIS/Overlap Requests
"Hi Team,Can you run an overlap of Research based Growth (28500870) against the LCG universe?Thank you!",MAA TRANSITION ANALYSIS/Overlap Requests
Can you please provide me the overlap summary between Cambiar International Value ADR (28501128) and Lazard Intl Value wE (28500371),MAA TRANSITION ANALYSIS/Overlap Requests
"Can you please run an overlap analysis on the attached holdings vs, the following SMA universes:Large Cap GrowthLarge Cap ValueLarge Cap CoreSmid Cap ValueInternational",MAA TRANSITION ANALYSIS/Overlap Requests
"Good morning,We are looking at removing Looms Sayles Large Cap Growth 28500241 and replace with Brown Advisory Large Cap Sustainable Growth 2BS02255They have some overlap and of course positions change but could you give the analysis that would show what positions would be lost in toomis by thechange. Adds in Brown would be good too if possible,",MAA TRANSITION ANALYSIS/Overlap Requests
"Good Morning MAA,Can you please run an overlap of the attached 3 files against the SMA Universe?Thaks,Dan",MAA TRANSITION ANALYSIS/Overlap Requests
Can you please overlap the below?50/50: 28502572/28500295FA,MAA TRANSITION ANALYSIS/Overlap Requests
Hi MAA - Can you please overlap the attached positions with the below 285 codes?28S023922850171928S02462288025642880159428S0199728S00164285001792800137285024382880030728S00329288025542880077328802255,MAA TRANSITION ANALYSIS/Overlap Requests
Please run overlap analysis >Research growth: 28S00870To28S00872&28500868FA,MAA TRANSITION ANALYSIS/Overlap Requests
Please do an overlap analysis of all SMAs with the holdings in the attached spreadsheet. Thank you!,MAA TRANSITION ANALYSIS/Overlap Requests
Can you please run an overlap of the attached holdings against our SMA universe?Thanks!Pat,MAA TRANSITION ANALYSIS/Overlap Requests
"Hello MAA,Can you please run an overlap analysis of the attached holdings against the entire SMA universe?",MAA TRANSITION ANALYSIS/Overlap Requests
Is it possible to run an overlap on the two portfolios against the SMA universe?,MAA TRANSITION ANALYSIS/Overlap Requests
"Hi Team,Can we have an overlap of the following managers:Cap global 28901070Bahl Gaynor 28500164London 28S00358Nuveen 28300172FA",MAA TRANSITION ANALYSIS/Overlap Requests
"Team, can you please compare the attached holdings for 852-25E06 & 852-25F08 VS:1)Research Based Equity Growth 285008702)MFS LCV 285003063)LAZARD INTERNATIONAL W EM 28500371",MAA TRANSITION ANALYSIS/Overlap Requests
Kindly run overlap analysis for the attached account holdings against all SMAs on ML One platform.Thank you for your help.,MAA TRANSITION ANALYSIS/Overlap Requests
"Can you please provide overlap information on these funds:Boston Partners Large Cap ValueColumbia Select Large Cap ValueThanks,FA",MAA TRANSITION ANALYSIS/Overlap Requests
"Hi Please find the attached tax impact analysis for your review.Best,Akshay C. Patel",MAA TRANSITION ANALYSIS/Ready to Send
"Please find the attached tax report.Regards,Argha GhoshGlobal Business ServicesFA",MAA TRANSITION ANALYSIS/Ready to Send
"Hi Team,Please find attached Tax Analysis. Same has been uploaded on share point.ThanksRitu YadavFA",MAA TRANSITION ANALYSIS/Ready to Send
Please find attached Tax Analysis. Same has been uploaded on share point.FA,MAA TRANSITION ANALYSIS/Ready to Send
"Hi Team,Please find attached Tax Analysis, Same has been uploaded on share pointRegards,VibhaFA",MAA TRANSITION ANALYSIS/Ready to Send
Please find the attached tax analysis reportFA,MAA TRANSITION ANALYSIS/Ready to Send
"¡Team,lease have the attached Tax Impact Analysis report for your review. Same has been uploaded on the SharePoint.hanks and Regards,hupender Singh",MAA TRANSITION ANALYSIS/Ready to Send
